X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Waste - Digested,Natural Resources,1584,0.4548722523688252,1.0184635458626254e-81,0.20690876597508823,0.35873974461789704,3.004878444214141,1011.2963603363295
Waste - Composted,Ecosystem Quality,1584,0.6131754907527354,3.2654858413013768e-164,0.3759841824598579,0.41498430107303735,-4.108240636708136,7.793981368755123e-05
Waste - Composted,Human Health,1582,0.5718684574929187,4.565507507879804e-138,0.3270335326753303,0.4357319492462203,-1.4461331906248112,0.035798663194207166
Waste - Composted,Natural Resources,1584,0.4545538927381905,1.3602921966632277e-81,0.20661924140344257,0.35836910960296087,2.942304929741647,875.5983404044815
Waste - Circularity %,Ecosystem Quality,1584,-0.08228348982685701,0.0010461365397023135,0.006770572698086563,-0.14391299757763126,-4.79221376571631,1.613564142871306e-05
Waste - Circularity %,Human Health,1582,-0.1488242327859597,2.716680546161146e-09,0.022148652264329494,-0.2930508685033761,-2.1838098487174147,0.006549228624052629
Waste - Circularity %,Natural Resources,1584,-0.24254631422289386,1.2164926045579812e-22,0.05882871454311078,-0.49417446625764827,2.2998002770141377,199.43449463471177
Vegetable Oil,Ecosystem Quality,1584,0.7865153967885765,0.0,0.6186064693854919,0.6100589591725154,-3.6758480012606016,0.0002109366277927076
Vegetable Oil,Human Health,1582,0.7035349471142562,1.2060765250477996e-236,0.49496142181105907,0.6146771391177392,-1.0392119819737062,0.09136671657006214
Vegetable Oil,Natural Resources,1584,0.5973215025544493,8.531632017962258e-154,0.3567929774139049,0.5397231366184317,3.338874196603684,2182.0977254347645
Uranium,Ecosystem Quality,1584,0.8284253528531464,0.0,0.6862885652498605,0.5872208980474408,-3.6427950225888006,0.0002276171479995071
Uranium,Human Health,1582,0.8943004764801975,0.0,0.799773342232708,0.7141220112588746,-0.7708061622320141,0.1695094199561399
Uranium,Natural Resources,1584,0.8284826919142121,0.0,0.6863835708014195,0.6841161884179301,3.6846446375711155,4837.763545053491
Tungsten,Ecosystem Quality,2,1.0,1.0,1.0,1.7758013118566607,-9.7889762602896,1.6256376150684099e-10
Tungsten,Human Health,2,1.0,1.0,1.0,1.2123951037101608,-4.566885930360644,2.710903570905626e-05
Tungsten,Natural Resources,2,1.0,1.0,1.0,1.3141008806353731,-1.0091993926414191,0.09790403866299978
Titanium,Ecosystem Quality,1584,0.8115227923198951,0.0,0.6585692424546798,0.6902029793055648,-4.382963501901132,4.1403446880547205e-05
Titanium,Human Health,1582,0.8571384871313754,0.0,0.7346863861218625,0.8208025695059035,-1.680880418249385,0.020850649207606008
Titanium,Natural Resources,1584,0.8160769339533602,0.0,0.6659815621307172,0.8085474591538062,2.824855708041355,668.1219008531559
Tin,Ecosystem Quality,1584,0.8241714760519807,0.0,0.6792586219377008,0.675732796261203,-4.2160279140995724,6.080959149072574e-05
Tin,Human Health,1582,0.8819021141261936,0.0,0.7777513389002502,0.8141436063398677,-1.4737224739719117,0.033595222830729854
Tin,Natural Resources,1584,0.7991487108379891,0.0,0.6386386620340202,0.7632790231828082,2.997114342975741,993.3775548388597
Tellurium,Ecosystem Quality,1584,0.7520500011020661,1.030626185741051e-288,0.5655792041576179,0.5556480929010594,-0.00905871861910068,0.9793575627926207
Tellurium,Human Health,1582,0.7220273057395903,4.753920558735066e-255,0.5213234302335716,0.6007058859320816,3.0057728097874645,1013.3811222582661
Tellurium,Natural Resources,1584,0.6352231084018889,1.0045365680923044e-179,0.403508397447758,0.546736044659155,7.0556540478200755,11367214.305943947
Tantalum,Ecosystem Quality,1584,0.7528520695404282,1.139788184498418e-289,0.5667862386113056,0.5300599769866424,-3.0580394570272986,0.0008749042837950739
Tantalum,Human Health,1582,0.7992790658881357,0.0,0.6388470251670111,0.6337446298949894,-0.09436842410287616,0.8046955059573256
Tantalum,Natural Resources,1584,0.7864191610951097,0.0,0.618455096937536,0.6450119449203278,4.454775932179956,28495.477061502377
Strontium,Ecosystem Quality,1584,0.785086696966099,0.0,0.6163611217531395,0.5231793536004072,-3.118503505601457,0.0007611959946482166
Strontium,Human Health,1582,0.8414455791151669,0.0,0.7080306626124587,0.6312704202221422,-0.1482177319835687,0.7108570386708588
Strontium,Natural Resources,1584,0.7621030008646345,5.681699469826944e-301,0.5808009839268812,0.5916228732148134,4.238922665999588,17334.95290028141
Silver,Ecosystem Quality,1584,0.7608732025065196,1.9347071330788446e-299,0.5789280302925269,0.5041809221263982,-2.7919501284439665,0.0016145439499166876
Silver,Human Health,1582,0.8092263571009007,0.0,0.6548472970267942,0.6038742243056545,0.2279509735781886,1.6902501127497636
Silver,Natural Resources,1584,0.7661926990283052,3.9047667704085413e-306,0.5870512520442792,0.59143964814328,4.69185142611491,49187.12357714106
Silicon,Ecosystem Quality,1584,0.7900631257036748,0.0,0.6241997425966608,0.5845345247766633,-4.016009511516845,9.63807914961558e-05
Silicon,Human Health,1582,0.8381531672926193,0.0,0.7025007318426494,0.6983762366933306,-1.2405052014175864,0.05747709349414499
Silicon,Natural Resources,1584,0.7573270801037223,4.498311997333461e-295,0.57354430625843,0.6527248800485579,3.213293841890324,1634.1572381140818
Selenium,Ecosystem Quality,1584,0.7143207591539595,1.6405484666864957e-247,0.5102541469582891,0.479609160642644,-0.16252210321924743,0.687824904883673
Selenium,Human Health,1582,0.6683432717031269,2.672038474415643e-205,0.44668272883083937,0.5052684086852645,2.7127905902233143,516.1674216732735
Selenium,Natural Resources,1584,0.5609178622748672,5.889760869361825e-132,0.31462884821900683,0.43872438553603554,6.5856408970703235,3851597.508238211
Sand,Ecosystem Quality,1584,0.7933347980304957,0.0,0.6293801017660876,0.6959464020488225,-6.189025999349188,6.471038752535419e-07
Sand,Human Health,1582,0.8571871428900618,0.0,0.7347697979360273,0.8470463577648207,-3.8686074843817346,0.0001353295119593919
Sand,Natural Resources,1584,0.8030273833066921,0.0,0.6448529783403931,0.8206310606053229,0.6982159198515694,4.991325814399281
Rhodium,Ecosystem Quality,1584,0.8263342607876558,0.0,0.6828283105514816,0.6167796367771018,0.2237135853744432,1.6738386253336621
Rhodium,Human Health,1582,0.8885662604223584,0.0,0.7895499991609742,0.7471751883446943,3.9078176313857367,8087.562155579286
Rhodium,Natural Resources,1584,0.8368996822321049,0.0,0.7004010781201983,0.7276892787638908,8.263159544975535,183298767.58332938
Rare Earth,Ecosystem Quality,1584,0.7565658397994435,3.806854931792407e-294,0.5723918699514372,0.4854225720870578,-3.9314483519707686,0.00011709858523406433
Rare Earth,Human Health,1582,0.8062540983795877,0.0,0.650045671153882,0.5824310182509203,-1.1349149023176548,0.07329681402581552
Rare Earth,Natural Resources,1584,0.8257780610089619,0.0,0.6819094060437207,0.6172127450252356,3.4378758974970243,2740.7908610103655
Platinum,Ecosystem Quality,1584,0.8379352102811815,0.0,0.7021354166289682,0.6710036314947213,-3.7553504978479775,0.00017565054520789257
