;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
6727025bbc9d787b9780d89813f331c1;GLO;SSP5-Base-2020;6727025bbc9d787b9780d89813f331c1;market for industrial furnace, coal, 1-10MW;industrial furnace, coal, 1-10MW;unit;124627.94311548737;637.1383986997437;621.8262445868563;0.003533713102025245;0.0015267541526072668;1.0201440887810254;22537.357094171723;;;
00e1aaacb366e2e2eb39233abbfee49e;GLO;SSP5-Base-2020;00e1aaacb366e2e2eb39233abbfee49e;market for offshore platform, petroleum;offshore platform, petroleum;unit;8932988.823688224;27663.25166828883;210393.68871419976;0.42457344648942696;0.051240104251959004;36.53806103538352;842822.1044602698;;;
062a0f4dab601b121589b19fd8ecd6c1;GLO;SSP5-Base-2020;062a0f4dab601b121589b19fd8ecd6c1;market for cover plaster, mineral;cover plaster, mineral;kilogram;0.18028878283119298;9.930809947763315e-05;0.00023970352871697544;2.4758829087952477e-09;8.265145696915047e-10;3.824472992022437e-07;0.0138775937220156;;;
c27641648029d80a71c39e81f15ff491;GLO;SSP5-Base-2020;c27641648029d80a71c39e81f15ff491;market for electric motor, vehicle;electric motor, vehicle;kilogram;2.624932436945472;0.021164208683714835;0.012043733329376517;1.0033281661140655e-07;3.671921341414877e-08;3.697872672018444e-05;0.38473880169739405;;;
680c75ffbba966f1344cc492eb3bd8ca;GLO;SSP5-Base-2020;680c75ffbba966f1344cc492eb3bd8ca;market for aluminium fluoride;aluminium fluoride;kilogram;0.6620693628690184;0.0008165464553440214;0.0015248979405857856;2.762090910860626e-08;5.82834315130632e-09;5.2925788036136045e-06;0.09970829925175428;;;
950afd9844447d112954b0a5a50a29a1;RoW;SSP5-Base-2020;950afd9844447d112954b0a5a50a29a1;market for heat pump, diffusion absorption, 4kW, future;heat pump, diffusion absorption, 4kW, future;unit;1100.601548123232;5.416814979434555;3.7092876901972573;3.693786013362805e-05;8.204206451547631e-06;0.007367424512557672;124.46403486454862;;;
87af8885dd58f0290b4d78321761cb62;GLO;SSP5-Base-2020;87af8885dd58f0290b4d78321761cb62;market for battery cell, Li-ion, NMC811;battery cell, Li-ion, NMC811;kilogram;41.61744870970152;0.2854104525233655;0.6412264116885832;1.1002082049371464e-06;1.1181790682928663e-07;8.31150164569561e-05;2.9685148018073493;;;
3fd33e23f03f15fa3343868a895f8e5c;RoW;SSP5-Base-2020;3fd33e23f03f15fa3343868a895f8e5c;market for concrete, 25MPa;concrete, 25MPa;cubic meter;402.0374882914821;0.3916605920696476;0.3541259855266015;1.998582974800873e-06;1.271756075477078e-06;0.000541376568826376;15.837178190895711;;;
b0175530e5a50fe6ccec08a4eea4cabf;GLO;SSP5-Base-2020;b0175530e5a50fe6ccec08a4eea4cabf;market for sodium ethyl xanthate;sodium ethyl xanthate;kilogram;1.8050971958479733;0.016961067277846895;0.5307096110465773;5.2042678865520455e-08;1.7859392438995353e-08;1.066843699336702e-05;0.3267089589691051;;;
5335ca05edd8d58c2e669f097830465f;RoW;SSP5-Base-2020;5335ca05edd8d58c2e669f097830465f;market for ethylene glycol monoethyl ether;ethylene glycol monoethyl ether;kilogram;0.9203215602060866;0.01857698256686915;0.006856932613175005;3.18781694967928e-08;1.1424167793076107e-08;5.267764537956462e-06;0.5113376568942318;;;
