;activity type;database;location;name;reference product;unit;code;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources
950afd9844447d112954b0a5a50a29a1;market activity;ecoinvent-3.9.1-cutoff;RoW;market for heat pump, diffusion absorption, 4kW, future;heat pump, diffusion absorption, 4kW, future;unit;950afd9844447d112954b0a5a50a29a1;1115.5914568684243;6.998007443286038;3.729814765397161;3.9385344362594426e-05;8.770963733005746e-06;0.007998456459052016;127.17425277391513
704719aa470297731a0d0430292726a6;market activity;ecoinvent-3.9.1-cutoff;GLO;market for hard disk drive, for desktop computer;hard disk drive, for desktop computer;unit;704719aa470297731a0d0430292726a6;6.46820657125025;0.053321032953825453;0.12511247552225843;6.413902999527013e-07;8.618829595742689e-08;6.571194581710773e-05;0.8741769665741561
379e1d772d6bcf2ad8ed50deef291bb1;market activity;ecoinvent-3.9.1-cutoff;GLO;market for solvent for paint;solvent for paint;kilogram;379e1d772d6bcf2ad8ed50deef291bb1;0.23786624210010338;0.0005199149269300414;0.004835277752294459;1.3398377373217278e-08;4.520241494486729e-09;1.916211397953384e-06;0.5437521682011364
20c34a745da0dfde20ce5120bcf7dd03;market activity;ecoinvent-3.9.1-cutoff;GLO;market for graphic paper, 100% recycled;graphic paper, 100% recycled;kilogram;20c34a745da0dfde20ce5120bcf7dd03;0.44109139145360143;0.03448629558820515;0.0012566463705780515;6.06539581571726e-08;9.069145670536285e-09;3.1993937538770907e-06;0.07386382389507007
1dc96cfc8c3bfa1267b2333e725a490f;market activity;ecoinvent-3.9.1-cutoff;GLO;market for display, cathode ray tube, 17 inches;display, cathode ray tube, 17 inches;unit;1dc96cfc8c3bfa1267b2333e725a490f;375.002416668368;1.8505365802188796;3.792717457959425;1.4669848355152073e-05;2.03533396509005e-06;0.0017204703167142967;31.3471293672091
467950d5933b8a5d975f2e292eb340f0;market activity;ecoinvent-3.9.1-cutoff;GLO;market for imidazole;imidazole;kilogram;467950d5933b8a5d975f2e292eb340f0;1.6584897235036316;0.0024294484857492428;0.008708134421608765;1.5819026564613994e-07;2.263933987125282e-08;1.131375700958435e-05;0.7654394376059165
00e1aaacb366e2e2eb39233abbfee49e;market activity;ecoinvent-3.9.1-cutoff;GLO;market for offshore platform, petroleum;offshore platform, petroleum;unit;00e1aaacb366e2e2eb39233abbfee49e;9106948.515718108;50247.032805526265;211385.0692341057;0.4997350751548726;0.054957935596143974;42.98445267904082;873683.4671502048
a9b8787ddd5404b6abd259278c6d0c0d;market activity;ecoinvent-3.9.1-cutoff;RoW;market for three and five layered board;three and five layered board;cubic meter;a9b8787ddd5404b6abd259278c6d0c0d;189.6444139588083;0.46140871011564166;0.8551027310603708;6.491899977558219e-06;1.4037618711649274e-05;0.000873925882090704;19.691145706113144
188e799b23e69b89fa566ad0300ca058;market activity;ecoinvent-3.9.1-cutoff;RoW;market for quicklime, milled, packed;quicklime, milled, packed;kilogram;188e799b23e69b89fa566ad0300ca058;0.17083200305642518;0.00011423049928106142;0.0005541257530337027;3.858810346622427e-09;4.128868917125723e-09;1.5110449398193183e-06;0.05287237515322453
cf67afad8b0a055ef36b0f0e2a41eb09;market activity;ecoinvent-3.9.1-cutoff;RoW;market for 2-butanol;2-butanol;kilogram;cf67afad8b0a055ef36b0f0e2a41eb09;0.6063619210716763;0.004079011408715756;0.009805396863348147;2.192837472700835e-08;1.8989384808540593e-08;8.676469948436714e-06;0.7479846773385103
6d211143fdc832c020a0471bc77ec7af;market activity;ecoinvent-3.9.1-cutoff;GLO;market for furnace, wood chips, with silo, 50kW;furnace, wood chips, with silo, 50kW;unit;6d211143fdc832c020a0471bc77ec7af;87035.65162047421;43.074712336735786;11.740100488297124;9.817914454926771e-05;3.1442091500475526e-05;0.02550507255252348;512.6092305869315
