CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;35b47e96ed61492e8b87bdecdc5dada4;SSP1-PkBudg500-2040;NEU;cement;market for cement, type general use;cement, type general use;kilogram
346: Fertilizers and pesticides;chemicals/inorganics;0891:Mining of chemical and fertilizer minerals;4a61290db042f90ac7e28c9428ccd272;SSP1-PkBudg500-2040;GLO;borates;market for calcium borates;calcium borates;kilogram
69120: Gas distribution through mains (on own account);natural gas/fuels;"3520:Manufacture of gas; distribution of gaseous fuels through mains";01325356fdc88b89e81180cc2a30b0e2;SSP1-PkBudg500-2040;GLO;natural gas;market for natural gas, high pressure, vehicle grade;natural gas, high pressure, vehicle grade;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;01b5b1d1650f4b0a943059ad82be82bc;SSP1-PkBudg500-2040;CAZ;cement;market for cement, CEM II/B-V;cement, CEM II/B-V;kilogram
41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];;2420:Manufacture of basic precious and other non-ferrous metals;81b55566771949ad975262214cca9088;SSP1-PkBudg500-2040;GLO;tungsten;market for tungsten carbide powder;tungsten carbide powder;kilogram
11010: Hard coal;hard coal/production;0510:Mining of hard coal;5337f762d920a7c46d66d974002f935b;SSP1-PkBudg500-2040;IN;coal(black);market for hard coal, run-of-mine;hard coal, run-of-mine;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";2f3da839f70e544e18c132d6794f9286;SSP1-PkBudg500-2040;EC;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
862: Support and operation services to mining;oil/production;0610:Extraction of crude petroleum;39cd95994ac20d86007b6161240cb59b;SSP1-PkBudg500-2040;GLO;petroleum;market for petroleum combustion, in drilling tests;petroleum combustion, in drilling tests;kilogram
342: Basic inorganic chemicals n.e.c.;photovoltaic/production of components;2011:Manufacture of basic chemicals;4c47fb2e57f28bb0ec8f613c349a16d5;SSP1-PkBudg500-2040;RoW;silicon;market for silicon, single crystal, Czochralski process, electronics;silicon, single crystal, Czochralski process, electronics;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;affcd3169f944a5bb4395937e6881e45;SSP1-PkBudg500-2040;EUR;hydrogen;market for hydrogen, gaseous;hydrogen, gaseous;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;fefc8e01d9f74b0d9dfb800a76399108;SSP1-PkBudg500-2040;USA;cement;market for cement, CEM II/B-V;cement, CEM II/B-V;kilogram
41443: Tin, unwrought;metals/extraction;2432:Casting of non-ferrous metals;ddff069daa805b575e737187192b3402;SSP1-PkBudg500-2040;GLO;tin;market for tin;tin;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;27797437155ad8afaf5d6cd64caae922;SSP1-PkBudg500-2040;RoW;cement;market for cement, CEM IV/B;cement, CEM IV/B;kilogram
53269: Other constructions for manufacturing;nuclear power/production;4290:Construction of other civil engineering projects;83b8b1129e99eb6f04e73530e24cb782;SSP1-PkBudg500-2040;GLO;uranium;market for uranium enrichment centrifuge facility;uranium enrichment centrifuge facility;unit
69120: Gas distribution through mains (on own account);;"3520:Manufacture of gas; distribution of gaseous fuels through mains";40bccd8d0b93d2e058476865a14f0a52;SSP1-PkBudg500-2040;RoE;natural gas;market for natural gas, low pressure;natural gas, low pressure;cubic meter
